keyword	day	clicks	pis	cpc	leads	sales	umsatz	cpo	cpl	scr	lcr	ka	ctr	cost	Nday
AnzeigenKeyword5	2006-03-10	0	18	0	0	0	0	0	0	0	0	0	0	0	13217
AnzeigenKeyword5	2006-03-11	0	10	0	0	0	0	0	0	0	0	0	0	0	13218
AnzeigenKeyword5	2006-03-12	0	9	0	0	0	0	0	0	0	0	0	0	0	13219
AnzeigenKeyword5	2006-03-13	0	24	0	0	0	0	0	0	0	0	0	0	0	13220
AnzeigenKeyword5	2006-03-14	0	9	0	0	0	0	0	0	0	0	0	0	0	13221
AnzeigenKeyword5	2006-04-17	0	23	0	0	0	0	0	0	0	0	0	0	0	13255
AnzeigenKeyword5	2006-04-13	0	5	0	0	0	0	0	0	0	0	0	0	0	13251
AnzeigenKeyword5	2006-01-16	0	14	0	0	0	0	0	0	0	0	0	0	0	13164
AnzeigenKeyword5	2006-01-06	0	1	0	0	0	0	0	0	0	0	0	0	0	13154
AnzeigenKeyword5	2006-01-21	0	53	0	0	0	0	0	0	0	0	0	0	0	13169
AnzeigenKeyword5	2006-05-03	0	18	0	0	0	0	0	0	0	0	0	0	0	13271
AnzeigenKeyword5	2006-05-04	0	11	0	0	0	0	0	0	0	0	0	0	0	13272
AnzeigenKeyword5	2006-02-20	0	52	0	0	0	0	0	0	0	0	0	0	0.1	13199
AnzeigenKeyword5	2006-04-07	0	7	0	0	0	0	0	0	0	0	0	0	0	13245
AnzeigenKeyword5	2006-02-10	0	23	0	0	0	0	0	0	0	0	0	0	0	13189
AnzeigenKeyword5	2006-04-26	0	32	0	0	0	0	0	0	0	0	0	0	0	13264
AnzeigenKeyword5	2006-01-09	0	2	0	0	0	0	0	0	0	0	0	0	0	13157
AnzeigenKeyword5	2006-01-10	0	3	0	0	0	0	0	0	0	0	0	0	0	13158
AnzeigenKeyword5	2006-02-03	0	10	0	0	0	0	0	0	0	0	0	0	0	13182
AnzeigenKeyword5	2006-02-24	0	53	0	0	0	0	0	0	0	0	0	0	0	13203
AnzeigenKeyword5	2006-05-09	0	5	0	0	0	0	0	0	0	0	0	0	0	13277
AnzeigenKeyword5	2006-04-27	0	21	0	0	0	0	0	0	0	0	0	0	0	13265
AnzeigenKeyword5	2006-04-28	0	33	0	0	0	0	0	0	0	0	0	0	0	13266
herbst winter mode	2006-07-14	1	18	0.37	0	0	0	0	0	0	0	0	0.0555556	0.37	13343
herbst winter mode	2006-07-27	0	10	0	0	0	0	0	0	0	0	0	0	0	13356
herbst winter mode	2006-07-23	0	10	0	0	0	0	0	0	0	0	0	0	0	13352
herbst winter mode	2006-07-31	0	7	0	0	0	0	0	0	0	0	0	0	0	13360
herbst winter mode	2006-08-01	0	7	0	0	0	0	0	0	0	0	0	0	0	13361
herbst winter mode	2006-08-02	1	21	0.35	0	0	0	0	0	0	0	0	0.047619	0.35	13362
herbst winter mode	2006-08-03	0	24	0	0	0	0	0	0	0	0	0	0	0	13363
herbst winter mode	2006-08-04	0	17	0	0	0	0	0	0	0	0	0	0	0	13364
herbst winter mode	2006-08-05	1	24	0.36	0	0	0	0	0	0	0	0	0.0416667	0.36	13365
herbst winter mode	2006-08-25	0	2	0	0	0	0	0	0	0	0	0	0	0	13385
herbst winter mode	2006-07-17	0	6	0	0	0	0	0	0	0	0	0	0	0	13346
herbst winter mode	2006-08-06	0	6	0	0	0	0	0	0	0	0	0	0	0	13366
herbst winter mode	2006-07-15	0	8	0	0	0	0	0	0	0	0	0	0	0	13344
herbst winter mode	2006-07-21	0	6	0	0	0	0	0	0	0	0	0	0	0	13350
herbst winter mode	2006-08-30	0	28	0	0	0	0	0	0	0	0	0	0	0	13390
herbst winter mode	2006-07-24	0	11	0	0	0	0	0	0	0	0	0	0	0	13353
herbst winter mode	2006-07-30	0	14	0	0	0	0	0	0	0	0	0	0	0	13359
herbst winter mode	2006-07-12	0	9	0	0	0	0	0	0	0	0	0	0	0	13341
herbst winter mode	2006-07-13	0	24	0	0	0	0	0	0	0	0	0	0	0	13342
herbst winter mode	2006-07-25	1	15	0.4	0	0	0	0	0	0	0	0	0.0666667	0.4	13354
herbst winter mode	2006-07-18	0	10	0	0	0	0	0	0	0	0	0	0	0	13347
herbst winter mode	2006-07-26	0	10	0	0	0	0	0	0	0	0	0	0	0	13355
herbst winter mode	2006-07-16	1	8	0.4	0	0	0	0	0	0	0	0	0.125	0.4	13345
herbst winter mode	2006-08-31	0	8	0	0	0	0	0	0	0	0	0	0	0	13391
herbst winter mode	2006-07-22	0	10	0	0	0	0	0	0	0	0	0	0	0	13351
herbst winter mode	2006-01-03	1	0	0	0	0	0	0	0	0	0	0	0	0	13151
herbst winter mode	2006-08-28	0	20	0	0	0	0	0	0	0	0	0	0	0	13388
herbst winter mode	2006-08-27	0	17	0	0	0	0	0	0	0	0	0	0	0	13387
herbst winter mode	2006-07-28	0	10	0	0	0	0	0	0	0	0	0	0	0	13357
herbst winter mode	2006-08-29	0	22	0	0	0	0	0	0	0	0	0	0	0	13389
herbst winter mode	2006-07-29	0	4	0	0	0	0	0	0	0	0	0	0	0	13358
herbst winter mode	2006-07-20	0	11	0	0	0	0	0	0	0	0	0	0	0	13349
herbst winter mode	2006-07-19	0	19	0	0	0	0	0	0	0	0	0	0	0	13348
herbst winter mode	2006-08-26	0	17	0	0	0	0	0	0	0	0	0	0	0	13386
herbstmode	2006-08-19	0	5	0	0	0	0	0	0	0	0	0	0	0	13379
herbstmode	2006-08-28	0	19	0	0	0	0	0	0	0	0	0	0	0	13388
herbstmode	2006-07-26	0	20	0	0	0	0	0	0	0	0	0	0	0	13355
herbstmode	2006-07-27	0	10	0	0	0	0	0	0	0	0	0	0	0	13356
herbstmode	2006-07-23	0	6	0	0	0	0	0	0	0	0	0	0	0	13352
herbstmode	2006-07-31	1	115	0.38	0	0	0	0	0	0	0	0	0.00869565	0.38	13360
